ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,
1000002330,,Poetry,Publishing,GBP,2015-10-09,1000,2015-08-11 12:12:28,0,failed,0,GB,0,0,1533.95,
1000003930,Greeting From Earth: ZGAC Arts Capsule For ET,Narrative Film,Film & Video,USD,2017-11-01,30000,2017-09-02 4:43:57,2421,failed,15,US,100,2421,30000,
1000004038,Where is Hank?,Narrative Film,Film & Video,USD,2013-02-26,45000,2013-01-12 0:20:50,220,failed,3,US,220,220,45000,
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,2012-04-16,5000,2012-03-17 3:24:11,1,failed,1,US,1,1,5000,
1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,2015-08-29,19500,2015-07-04 8:35:03,1283,canceled,14,US,1283,1283,19500,
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,2016-04-01,50000,2016-02-26 13:38:27,52375,successful,224,US,52375,52375,50000,
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,2014-12-21,1000,2014-12-01 18:30:44,1205,successful,16,US,1205,1205,1000,
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,2016-03-17,25000,2016-02-01 20:05:12,453,failed,40,US,453,453,25000,
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,2014-05-29,125000,2014-04-24 18:14:43,8233,canceled,58,US,8233,8233,125000,
100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,2014-08-10,65000,2014-07-11 21:55:48,6240.57,canceled,43,US,6240.57,6240.57,65000,
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,2013-10-09,2500,2013-09-09 18:19:37,0,failed,0,CA,0,0,2406.39,
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,2013-04-08,12500,2013-03-09 6:42:58,12700,successful,100,US,12700,12700,12500,
1000055792,The Cottage Market,Crafts,Crafts,USD,2014-10-02,5000,2014-09-02 17:11:50,0,failed,0,US,0,0,5000,
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,2016-03-25,200000,2016-02-09 23:01:12,0,failed,0,US,0,0,200000,
1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,2017-05-03,5000,2017-04-05 19:44:18,94175,successful,761,GB,57763.78,121857.33,6469.73,
1000064368,Survival Rings,Design,Design,USD,2015-02-28,2500,2015-01-29 2:10:53,664,failed,11,US,664,664,2500,
1000064918,The Beard,Comic Books,Comics,USD,2014-11-08,1500,2014-10-09 22:27:52,395,failed,16,US,395,395,1500,
1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,2015-05-10,3000,2015-04-10 21:20:54,789,failed,20,US,789,789,3000,
1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,2012-08-17,250,2012-08-02 14:11:32,250,successful,7,US,250,250,250,
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30,20000,2013-11-25 7:06:11,34268,successful,624,US,34268,34268,20000,
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30,20000,2013-11-25 7:06:11,34268,successful,624,US,34268,34268,20000,
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30,20000,2013-11-25 7:06:11,34268,successful,624,US,34268,34268,20000,
,,,,,,,,,,,,,,,
1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,2015-02-25,500,2015-01-26 19:17:33,48,failed,3,NO,6.18,6.29,65.55,
1000091520,The Book Zoo - A Mini-Comic,Comics,,USD,,175,,701.66,successful,,US,701.66,701.66,175,
1000102741,Matt Cavenaugh & Jenny Powers make their 1st album!,Music,Music,USD,2011-01-06,10000,2010-12-07 23:16:50,15827,successful,147,US,15827,15827,10000,
1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,2016-01-05,12000,2015-12-06 20:09:06,0,failed,0,GB,0,0,17489.65,
1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,Comics,GBP,2016-01-28,100,2015-12-29 16:59:29,112.38,successful,27,GB,167.7,160.6,142.91,
